backend,idx,n_true,status,abs_dn,est_n
MLP,0,0.5243341538719134,ok,0.1011307021280865,0.6254648559999999
Bekker-UKF,0,0.5243341538719134,ok,0.02110950687409019,0.5454436607460036
NN-UKF,0,0.5243341538719134,ok,0.01807523546141998,0.5424093893333334
Fused-UKF,0,0.5243341538719134,ok,0.09383614746142,0.6181703013333334
Bekker-UKF,1,0.529862382331146,ok,0.015849696616222486,0.5457120789473685
Bekker-UKF,2,0.5348056446724517,ok,0.029598456337649237,0.564404101010101
NN-UKF,1,0.529862382331146,ok,0.0071294313570670065,0.536991813688213
Fused-UKF,1,0.529862382331146,ok,0.06043830344380108,0.5903006857749471
MLP,1,0.529862382331146,ok,0.051204706598073524,0.5810670889292195
MLP,2,0.5348056446724517,ok,0.007957378938185933,0.5268482657342658
Fused-UKF,3,0.5414347345631585,ok,0.035010767428873324,0.5764455019920318
NN-UKF,2,0.5348056446724517,ok,0.008590843654396552,0.5433964883268483
Bekker-UKF,3,0.5414347345631585,ok,0.030860789866808958,0.5722955244299675
Fused-UKF,2,0.5348056446724517,ok,0.03359869823942563,0.5684043429118774
NN-UKF,3,0.5414347345631585,ok,0.010274795472177245,0.5517095300353357
MLP,3,0.5414347345631585,ok,0.029641615515539455,0.511793119047619
MLP,4,0.5467589475836131,ok,0.04711649472407908,0.5938754423076922
Fused-UKF,4,0.5467589475836131,ok,0.0443035664876813,0.5910625140712944
Bekker-UKF,4,0.5467589475836131,ok,0.007039247913646074,0.539719699669967
NN-UKF,4,0.5467589475836131,ok,0.007398040138945072,0.539360907444668
Bekker-UKF,5,0.5521706680730838,ok,0.006686799459383663,0.5588574675324675
MLP,5,0.5521706680730838,ok,0.016986952226089258,0.5351837158469945
Fused-UKF,5,0.5521706680730838,ok,0.021303725015469066,0.5734743930885529
MLP,6,0.5543275604298786,ok,0.0066153689405168414,0.5477121914893618
Bekker-UKF,6,0.5543275604298786,ok,0.0008951193524375789,0.553432441077441
NN-UKF,5,0.5521706680730838,ok,0.0030946575835733015,0.5490760104895105
Fused-UKF,6,0.5543275604298786,ok,0.030785258599972165,0.5851128190298508
NN-UKF,6,0.5543275604298786,ok,0.026880482083984525,0.5812080425138632
MLP,7,0.5631214845712126,ok,0.026341691660764832,0.5367797929104478
Bekker-UKF,7,0.5631214845712126,ok,0.012019164258218806,0.5751406488294314
NN-UKF,7,0.5631214845712126,ok,0.006058732798163047,0.5570627517730495
Fused-UKF,7,0.5631214845712126,ok,0.019034492172973483,0.5821559767441861
Bekker-UKF,8,0.5686219748222598,ok,0.02111546840118339,0.5897374432234432
MLP,8,0.5686219748222598,ok,0.043382368060693954,0.5252396067615659
Fused-UKF,9,0.5743489261203075,ok,0.009446506628230433,0.583795432748538
NN-UKF,8,0.5686219748222598,ok,0.0011419502608562837,0.5674800245614036
Bekker-UKF,9,0.5743489261203075,ok,0.011084089240874895,0.5632648368794326
NN-UKF,9,0.5743489261203075,ok,0.019915877509196434,0.5544330486111111
Fused-UKF,8,0.5686219748222598,ok,0.01799617047688551,0.5866181452991454
MLP,9,0.5743489261203075,ok,0.04641500083295125,0.5279339252873563
Fused-UKF,10,0.5797430565860267,ok,0.012687246700095134,0.5670558098859315
NN-UKF,10,0.5797430565860267,ok,0.02353867889522432,0.5562043776908023
Bekker-UKF,10,0.5797430565860267,ok,0.014647946692661895,0.5943910032786885
MLP,10,0.5797430565860267,ok,0.039069816303341165,0.5406732402826855
MLP,11,0.5847315601001744,ok,0.04705316166267426,0.5376783984375001
Bekker-UKF,11,0.5847315601001744,ok,0.01712587954461875,0.5676056805555556
NN-UKF,11,0.5847315601001744,ok,0.024399512481126706,0.5603320476190476
NN-UKF,12,0.5919790572103018,ok,0.0029575927294274162,0.5890214644808743
Fused-UKF,12,0.5919790572103018,ok,0.012372594759708977,0.5796064624505928
Fused-UKF,11,0.5847315601001744,ok,0.01570129508982232,0.569030265010352
MLP,12,0.5919790572103018,ok,0.042217626598056834,0.5497614306122449
Bekker-UKF,12,0.5919790572103018,ok,0.02444500543036654,0.5675340517799352
Bekker-UKF,13,0.5959193800531112,ok,0.015142369946888778,0.61106175
