experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,400,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0000_pacejka_static_clay_sinusoidal_v5_b0_s400,ok,0,23.045414686203003,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0000_pacejka_static_clay_sinusoidal_v5_b0_s400/20260704_072123_532884_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1663,0.5742259480335933,2.167745,0.3320627969999999,4.414014999999999,5.546169999999999,0.8828029999999998,2.7033674082982566,5.0,66.88374870456079,65.721078,-1.821212,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,401,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0001_pacejka_static_clay_sinusoidal_v5_b0_s401,ok,0,23.07526159286499,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0001_pacejka_static_clay_sinusoidal_v5_b0_s401/20260704_072145_720267_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.726753492065783,2.246106,0.4148237,4.4648808,5.613074999999999,0.8929761599999999,4.4341991601679664,7.393399999999999,69.00708497347057,67.700208,-1.004982,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,402,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0002_pacejka_static_clay_sinusoidal_v5_b0_s402,ok,0,23.175582885742188,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0002_pacejka_static_clay_sinusoidal_v5_b0_s402/20260704_072145_591655_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.8007709047541307,2.650714,0.4426736969999999,4.469304400000001,5.69938,0.8938608800000003,3.495374925014997,6.000199999999998,68.67478144756402,67.45426,-1.630548,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,403,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0003_pacejka_static_clay_sinusoidal_v5_b0_s403,ok,0,23.176183462142944,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0003_pacejka_static_clay_sinusoidal_v5_b0_s403/20260704_072145_704975_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.6880389497520522,2.173568,0.397630209,4.4632906000000006,5.562295,0.8926581200000001,4.002417516496701,7.243399999999999,68.90497324228814,67.618598,-0.98235,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,404,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0004_pacejka_static_clay_sinusoidal_v5_b0_s404,ok,0,23.224462032318115,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0004_pacejka_static_clay_sinusoidal_v5_b0_s404/20260704_072145_685138_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.8846884290815977,2.666143,0.4922092629999999,4.5038993,5.704269999999999,0.90077986,4.281955608878224,7.633599999999997,69.44709670670417,68.143476,-1.347049,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,400,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0005_pacejka_static_clay_sinusoidal_v5_b4_s400,ok,0,23.3761043548584,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0005_pacejka_static_clay_sinusoidal_v5_b4_s400/20260704_072145_678136_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.9736135632871304,2.850726,0.5422140849999999,4.480628,5.693809999999999,0.8961256000000001,3.649076184763048,6.5271999999999935,69.48712913792173,68.117498,-1.556627,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,401,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0006_pacejka_static_clay_sinusoidal_v5_b4_s401,ok,0,23.38040781021118,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0006_pacejka_static_clay_sinusoidal_v5_b4_s401/20260704_072145_636420_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.6948014960503057,2.258759,0.3944944669999999,4.4220728,5.571635000000001,0.88441456,4.231025794841032,7.5271999999999935,68.41542596536563,67.175151,-1.287929,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,402,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0007_pacejka_static_clay_sinusoidal_v5_b4_s402,ok,0,23.57829236984253,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0007_pacejka_static_clay_sinusoidal_v5_b4_s402/20260704_072208_841501_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.8676528119269481,2.535272,0.4885112439999999,4.498302,5.666985,0.8996603999999999,3.7366466706658663,6.383399999999999,69.94770678906556,68.594107,-0.966392,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,404,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0009_pacejka_static_clay_sinusoidal_v5_b4_s404,ok,0,23.528164863586422,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0009_pacejka_static_clay_sinusoidal_v5_b4_s404/20260704_072208_889469_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.7854286983068915,2.425062,0.44124512,4.4516426,5.621425,0.8903285200000001,3.695776844631074,6.283399999999999,69.05965827708782,67.781091,-1.19908,0,0,,,,,,
tire_model_with_estimator_ablation,pacejka_static,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,403,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0008_pacejka_static_clay_sinusoidal_v5_b4_s403,ok,0,23.53142738342285,20.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/tire_model_with_estimator_ablation_20260704_072120/raw/0008_pacejka_static_clay_sinusoidal_v5_b4_s403/20260704_072208_990663_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,,,1667,0.5984254054581021,1.862736,0.3586157839999999,4.4141576,5.440055,0.8828315200000001,4.3882543491301735,7.26,68.61584203822608,67.299213,-0.747225,0,0,,,,,,
